# FIRESONG Output description
# Standard candle sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
10.9113 4.2815 4.9917e-13
27.9904 2.5385 1.8355e-12
-83.3269 4.5705 4.2496e-13
-15.6654 3.4365 8.6060e-13
-34.5972 3.6705 7.3067e-13
22.6345 1.6615 5.3571e-12
-0.0018 2.3605 2.2039e-12
41.0165 4.0195 5.8344e-13
7.9181 1.8655 3.9939e-12
46.2039 0.7975 3.4401e-11
27.9113 2.9395 1.2707e-12
30.2080 5.0525 3.3219e-13
63.8899 3.1565 1.0636e-12
-15.8689 2.1565 2.7681e-12
-42.5112 1.2185 1.1777e-11
58.9966 1.6765 5.2363e-12
-74.4465 1.5795 6.0916e-12
14.8070 1.3635 8.8509e-12
25.9397 1.4605 7.4326e-12
-1.0639 4.7475 3.8705e-13
-23.1405 2.5385 1.8355e-12
-50.1503 1.4775 7.2173e-12
31.4823 7.3955 1.3143e-13
-40.4675 4.9335 3.5219e-13
26.5656 4.1745 5.3135e-13
50.2524 2.7565 1.4926e-12
-13.5024 1.6825 5.1891e-12
-44.4271 1.4735 7.2672e-12
-7.7601 0.9395 2.2765e-11
13.0850 1.9995 3.3507e-12
47.6547 2.4985 1.9102e-12
-66.3380 2.0695 3.0715e-12
-10.5376 2.9965 1.2111e-12
-20.7293 3.3835 8.9454e-13
-14.1809 4.9995 3.4089e-13
41.0887 2.3155 2.3134e-12
13.6863 1.8095 4.3146e-12
-32.7934 4.5095 4.3925e-13
46.3988 3.4185 8.7192e-13
-47.4772 0.9715 2.0917e-11
-55.6231 1.8005 4.3695e-12
61.0466 2.8975 1.3173e-12
22.5891 4.5435 4.3120e-13
7.8903 1.2125 1.1926e-11
70.4633 4.4015 4.6628e-13
-4.1942 3.7075 7.1271e-13
68.7856 1.7435 4.7408e-12
-9.6102 1.2025 1.2180e-11
-39.3381 3.3045 9.4874e-13
-54.2554 0.8185 3.2226e-11
18.2206 0.3835 2.0738e-10
10.5220 0.8295 3.1162e-11
21.4053 1.9085 3.7699e-12
46.0282 2.8305 1.3967e-12
-55.5641 3.9075 6.2570e-13
-10.4579 1.9305 3.6621e-12
26.5053 2.0695 3.0715e-12
55.2724 2.7745 1.4684e-12
-28.2261 5.3985 2.8246e-13
6.8007 3.5385 8.0024e-13
-51.1029 3.0005 1.2071e-12
10.8535 1.5735 6.1508e-12
34.4983 1.3315 9.4015e-12
-64.4189 4.9535 3.4871e-13
26.1227 8.7525 8.7601e-14
56.0372 3.8005 6.7025e-13
31.6142 1.9595 3.5265e-12
-31.4998 4.7735 3.8189e-13
41.5519 2.7715 1.4724e-12
-61.1719 3.0695 1.1404e-12
-55.5452 1.1485 1.3686e-11
-3.8020 3.6285 7.5184e-13
66.9575 3.2385 9.9766e-13
0.0859 3.5365 8.0136e-13
-50.7371 9.6715 6.8963e-14
65.6756 3.1715 1.0511e-12
8.3242 3.9945 5.9251e-13
3.7871 2.3745 2.1713e-12
26.4331 3.0535 1.1554e-12
-37.0013 2.3825 2.1530e-12
0.5671 4.0505 5.7246e-13
-37.4177 4.9755 3.4494e-13
23.8383 1.8265 4.2135e-12
32.4062 4.4815 4.4604e-13
-23.7284 4.2525 5.0762e-13
35.6700 0.7335 4.2424e-11
-43.5225 2.5775 1.7665e-12
7.2477 2.9305 1.2805e-12
59.3896 2.7575 1.4912e-12
50.8199 0.7165 4.4984e-11
-14.6140 1.4295 7.8491e-12
24.9590 1.6475 5.4734e-12
44.9522 4.5235 4.3591e-13
-17.1464 5.1185 3.2179e-13
-2.6494 5.3565 2.8790e-13
16.4878 2.1095 2.9265e-12
4.5117 4.4065 4.6498e-13
-87.0219 2.5735 1.7734e-12
34.1183 3.8665 6.4226e-13
-43.8718 3.0215 1.1862e-12
20.8860 2.8305 1.3967e-12
-28.0008 3.9085 6.2530e-13
-25.3452 5.0105 3.3906e-13
-0.7476 2.0245 3.2471e-12
-0.3305 2.6655 1.6237e-12
-11.6868 2.8045 1.4294e-12
2.3666 1.6575 5.3900e-12
64.1401 2.6275 1.6833e-12
2.1558 4.1925 5.2574e-13
25.5334 2.3635 2.1968e-12
-40.8554 2.8075 1.4256e-12
-52.5422 2.9185 1.2937e-12
37.9453 2.7575 1.4912e-12
-50.9716 2.6965 1.5773e-12
-13.7227 0.9355 2.3012e-11
25.7659 0.9875 2.0070e-11
42.6692 5.5285 2.6650e-13
-33.0635 3.6835 7.2429e-13
-19.7605 1.9475 3.5818e-12
56.6235 2.5115 1.8855e-12
-0.7884 4.7995 3.7682e-13
53.0901 1.5335 6.5665e-12
22.9616 4.6345 4.1066e-13
37.3416 4.1735 5.3167e-13
-45.0953 4.1295 5.4577e-13
-16.1298 4.7975 3.7721e-13
-14.6490 3.5995 7.6697e-13
-51.3781 4.1625 5.3514e-13
47.4713 2.2645 2.4470e-12
-40.2909 5.9465 2.2308e-13
-23.8079 3.3475 9.1868e-13
81.9176 4.0945 5.5737e-13
41.8892 3.9745 5.9992e-13
-58.2890 1.2905 1.0179e-11
-19.0276 1.3725 8.7041e-12
-18.0067 4.7025 3.9621e-13
-48.5366 1.5495 6.3956e-12
23.5915 4.1575 5.3674e-13
-36.5391 1.6255 5.6634e-12
29.4751 4.9475 3.4975e-13
50.7575 4.5905 4.2042e-13
-79.2810 4.2805 4.9946e-13
13.4993 3.2625 9.7947e-13
38.0036 3.4315 8.6373e-13
37.0770 4.1225 5.4806e-13
-63.4081 2.6225 1.6913e-12
58.8162 3.5015 8.2142e-13
15.7096 1.5975 5.9188e-12
7.0697 3.5795 7.7766e-13
1.6901 5.1935 3.1052e-13
-11.0075 4.1925 5.2574e-13
-23.7233 0.9685 2.1081e-11
70.2469 2.5465 1.8210e-12
51.7204 6.2075 2.0093e-13
-34.7061 4.5325 4.3378e-13
7.8933 5.3855 2.8413e-13
72.6525 3.9605 6.0518e-13
-19.3558 2.6925 1.5831e-12
34.4097 4.4975 4.4214e-13
61.7172 2.3025 2.3464e-12
-12.1797 3.8875 6.3370e-13
54.9877 4.4615 4.5098e-13
50.1665 1.5265 6.6432e-12
-29.7603 5.1385 3.1873e-13
34.8888 4.0115 5.8632e-13
-24.0563 2.9345 1.2761e-12
-19.9399 2.5975 1.7325e-12
30.3849 3.1675 1.0544e-12
8.8165 2.7815 1.4592e-12
23.2233 4.1505 5.3897e-13
29.8647 7.5575 1.2473e-13
-50.6174 1.5505 6.3851e-12
19.8391 1.5265 6.6432e-12
76.5857 2.4555 1.9955e-12
74.5936 3.1565 1.0636e-12
-59.0043 1.5145 6.7777e-12
4.8571 4.2985 4.9432e-13
-0.5888 2.6555 1.6391e-12
-62.8114 1.7735 4.5401e-12
33.9750 1.3085 9.8271e-12
-37.0795 0.7995 3.4185e-11
6.4987 4.9465 3.4992e-13
68.6375 3.0295 1.1784e-12
-73.3531 5.4245 2.7916e-13
34.1301 1.8595 4.0267e-12
11.7322 2.1705 2.7232e-12
22.5651 1.2815 1.0362e-11
82.7321 1.5935 5.9566e-12
20.8048 2.0665 3.0828e-12
-70.1189 3.2675 9.7574e-13
54.2384 4.7365 3.8926e-13
39.1270 2.4995 1.9083e-12
-24.3523 5.4925 2.7078e-13
-12.8852 3.4855 8.3083e-13
35.3017 3.3215 9.3669e-13
-82.4810 1.3365 9.3123e-12
41.1361 3.5665 7.8472e-13
65.1836 1.7135 4.9542e-12
-19.4279 3.0005 1.2071e-12
45.2705 1.8555 4.0487e-12
-55.5923 1.7785 4.5078e-12
-46.6854 2.9285 1.2827e-12
8.7839 5.0405 3.3413e-13
-38.9429 3.9195 6.2097e-13
-20.5919 2.9795 1.2285e-12
30.3825 2.9065 1.3071e-12
-66.7991 2.7935 1.4435e-12
15.1753 3.2905 9.5883e-13
61.8473 1.9555 3.5448e-12
38.6822 4.0345 5.7809e-13
-18.0064 2.1575 2.7648e-12
66.5844 0.6105 6.6973e-11
61.7424 1.4325 7.8074e-12
30.3409 1.9765 3.4503e-12
-44.3514 1.4015 8.2537e-12
-10.9250 4.3235 4.8730e-13
-79.9033 2.0115 3.3004e-12
-41.8159 4.0485 5.7316e-13
53.8416 1.3805 8.5765e-12
-68.1600 4.1105 5.5203e-13
37.7784 3.2865 9.6174e-13
46.8983 3.8535 6.4764e-13
-39.5408 2.2165 2.5828e-12
-29.6734 7.1985 1.4029e-13
-30.5310 3.8535 6.4764e-13
-0.9331 3.0605 1.1488e-12
9.0150 1.6635 5.3408e-12
52.1622 4.2465 5.0939e-13
-49.0848 5.7665 2.4044e-13
-6.4781 1.1105 1.4906e-11
31.9566 3.0295 1.1784e-12
38.4753 2.2185 2.5770e-12
80.4558 0.7145 4.5299e-11
22.3949 0.7515 3.9927e-11
-7.6304 3.5415 7.9856e-13
33.4737 4.9525 3.4888e-13
-34.4873 1.9325 3.6525e-12
22.3441 3.3285 9.3179e-13
27.0447 1.4415 7.6841e-12
-11.2157 1.3285 9.4555e-12
-63.3915 1.6965 5.0811e-12
-42.0102 2.7925 1.4448e-12
-73.9309 4.7105 3.9456e-13
-59.6759 3.1955 1.0315e-12
33.4879 5.0815 3.2756e-13
-28.2358 0.8905 2.6062e-11
67.6165 1.9585 3.5311e-12
-33.1487 2.8685 1.3509e-12
0.3959 2.3785 2.1621e-12
70.9433 0.5595 8.3049e-11
-11.6445 6.5805 1.7437e-13
-34.7072 1.3385 9.2770e-12
