# FIRESONG Output description
# Lognormal distributed sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
-39.7337 2.1485 2.7602e-12
-61.6908 2.2055 2.6019e-12
51.4559 4.2225 5.1211e-13
-8.2668 4.2405 4.8804e-13
-32.0525 1.6415 5.5394e-12
37.8964 4.1105 5.6445e-13
-0.8251 2.6275 1.6698e-12
14.9326 2.5365 1.8976e-12
-23.2428 2.2115 2.5699e-12
-14.9103 2.5015 1.9160e-12
-29.5847 3.2845 9.5952e-13
-20.6349 2.1785 2.6276e-12
-5.6938 3.0205 1.1843e-12
-29.9893 4.2515 5.0876e-13
-60.4065 3.0525 1.0890e-12
-0.3974 2.3265 2.2908e-12
-24.6778 4.3915 4.6133e-13
69.5367 3.0405 1.1565e-12
63.0326 7.1005 1.4128e-13
-71.9306 3.6325 7.5690e-13
-51.1385 1.2675 1.0594e-11
41.8619 5.3955 2.8237e-13
-39.0793 4.4015 4.8595e-13
-88.3684 2.6215 1.7114e-12
-25.3138 1.9095 3.8725e-12
18.9363 1.9205 3.8105e-12
37.8306 2.4915 1.8915e-12
67.4427 3.1005 1.1031e-12
-1.7145 4.0655 5.6230e-13
-33.7157 4.2925 4.8893e-13
22.3181 0.9155 2.5628e-11
48.8392 1.8365 4.3212e-12
-20.1422 4.3225 4.8433e-13
-20.5459 0.5215 9.8489e-11
-23.7840 3.2235 9.9455e-13
-71.3455 5.0815 3.2787e-13
-20.8762 4.5345 4.2128e-13
2.8983 6.4585 1.8155e-13
49.1636 7.1055 1.4355e-13
-0.3310 1.7525 4.8331e-12
-4.4652 3.5115 8.0264e-13
-57.8859 3.7855 6.9185e-13
-75.2268 2.6575 1.6725e-12
-0.9805 2.8915 1.3179e-12
4.8079 2.8695 1.3598e-12
-33.8776 1.6895 5.1066e-12
11.0038 3.2125 1.0166e-12
-28.4332 2.5825 1.7778e-12
12.5208 2.0305 3.2009e-12
39.8717 3.1175 1.0613e-12
44.1870 2.9785 1.1941e-12
6.6399 0.1355 2.1255e-09
2.9267 4.8565 3.8020e-13
69.6265 3.9145 6.0771e-13
-37.5607 5.9575 2.2700e-13
28.6194 3.0275 1.1453e-12
71.3317 3.0785 1.1040e-12
-12.8011 3.7995 6.8592e-13
-29.6547 1.9675 3.5304e-12
49.3485 1.8615 4.0813e-12
11.6951 3.4295 8.5730e-13
29.6255 2.2635 2.4852e-12
-13.2485 1.5285 6.7078e-12
-3.5313 3.5775 7.6757e-13
29.6762 4.1395 5.2986e-13
-52.3222 1.9485 3.5909e-12
-10.9781 2.9865 1.2152e-12
35.1816 2.6845 1.5905e-12
25.5820 3.9545 6.1622e-13
11.0972 3.8845 6.3965e-13
27.5511 4.7235 4.0591e-13
44.7379 3.0855 1.1159e-12
-73.6853 1.8305 4.1102e-12
-2.6919 1.3355 9.3352e-12
42.2215 3.0135 1.2236e-12
22.4143 0.5655 8.0303e-11
-55.2012 3.9195 6.1879e-13
18.4820 1.2195 1.1533e-11
-85.6505 3.4645 8.0757e-13
-13.8261 1.7905 4.5740e-12
32.0897 4.1015 5.5110e-13
-31.7625 4.1135 5.5093e-13
-27.6017 4.6415 4.0246e-13
4.3613 2.1185 2.9147e-12
21.7061 0.6805 5.0311e-11
52.9954 1.5325 6.6726e-12
-71.6270 1.4135 8.4116e-12
4.2300 3.8145 6.6495e-13
57.1924 1.8725 4.1527e-12
-0.3999 5.4185 2.8706e-13
-16.6682 1.2245 1.1983e-11
-27.3595 3.0605 1.1201e-12
-50.0097 2.8235 1.3709e-12
-2.5534 3.1865 1.0644e-12
-44.6422 2.2145 2.5539e-12
72.5407 3.4225 8.5541e-13
6.5533 1.1045 1.5387e-11
26.8582 2.4105 2.0789e-12
-3.7752 3.4615 8.5343e-13
27.7032 4.8085 3.7168e-13
35.4590 1.6745 5.3090e-12
38.6542 2.8715 1.3371e-12
-40.8457 4.1875 5.1052e-13
0.3614 2.7845 1.4675e-12
-70.5337 3.0495 1.1093e-12
-40.6882 4.1945 5.2796e-13
43.5229 4.8775 3.6908e-13
18.6790 3.3525 9.0402e-13
32.6051 1.4695 7.4788e-12
-14.4679 5.0485 3.1942e-13
-44.5747 4.0825 5.5927e-13
-28.0216 4.4455 4.3712e-13
8.6348 1.4485 7.4476e-12
23.4138 2.3185 2.3286e-12
17.8103 5.0835 3.1066e-13
-27.2396 4.1075 5.4574e-13
-35.0730 2.4685 2.0290e-12
70.8216 2.2935 2.3914e-12
-50.2065 1.1575 1.3468e-11
38.3506 3.5025 8.3579e-13
77.0868 1.6675 5.2375e-12
40.8812 2.2805 2.3836e-12
20.4957 2.3735 2.1916e-12
-27.4679 3.9995 5.6043e-13
-2.6883 1.4235 7.5956e-12
-14.3246 2.2075 2.5434e-12
30.0470 2.9405 1.2460e-12
-47.9722 5.5865 2.5045e-13
29.9823 0.9975 1.9660e-11
-48.3546 1.8465 4.1571e-12
24.5911 2.7515 1.5562e-12
33.2711 3.5925 7.6046e-13
-37.8208 3.8575 6.3578e-13
-19.2026 2.0205 3.3439e-12
-54.6142 5.5645 2.4328e-13
51.4377 1.2005 1.2072e-11
29.1557 4.3615 4.8863e-13
69.3845 2.8215 1.3713e-12
-9.1798 2.8205 1.4314e-12
42.5950 0.8635 2.7950e-11
-47.8859 2.8695 1.4693e-12
-13.2775 1.4315 7.7499e-12
-7.9152 3.2135 1.0483e-12
-14.5024 4.1545 5.3412e-13
-45.7438 2.0095 3.2893e-12
-13.2723 1.4485 7.2650e-12
-24.3017 1.1655 1.3297e-11
-5.7688 3.6485 7.3958e-13
-17.9698 1.5375 6.5021e-12
45.4319 4.0955 5.4692e-13
-38.6035 4.6025 4.1734e-13
50.0283 3.4855 8.4078e-13
-1.8020 1.0795 1.5540e-11
-68.2145 4.5915 4.2859e-13
19.3725 1.3705 8.9019e-12
-36.4800 4.7025 4.0736e-13
-54.0025 4.5105 4.3391e-13
-34.8223 1.5165 6.6992e-12
37.6148 2.0715 3.0860e-12
33.4527 3.1205 1.0933e-12
-66.7610 6.0615 2.1354e-13
2.9614 6.2795 1.9071e-13
-16.9504 2.8705 1.3673e-12
8.9013 4.5645 4.3378e-13
-2.8465 2.8655 1.3220e-12
-24.9500 3.3665 8.9673e-13
17.1379 2.0525 3.0662e-12
73.3494 3.7525 7.0779e-13
37.2676 3.1425 1.0579e-12
67.8448 1.4515 7.7601e-12
-59.2600 3.3825 8.5922e-13
-2.6833 4.9465 3.5131e-13
-58.2357 2.3035 2.4150e-12
53.5718 3.8845 6.2070e-13
49.5665 5.0665 3.3235e-13
54.7619 3.5825 7.7322e-13
-36.9387 2.9145 1.2577e-12
69.9165 3.5925 7.4669e-13
-24.9585 2.1435 2.7590e-12
-9.3274 2.0645 3.1073e-12
4.0347 3.5285 7.9095e-13
65.9427 2.0655 3.1133e-12
32.6494 4.5535 4.3656e-13
23.9920 3.0225 1.1541e-12
-56.2229 1.0235 1.8562e-11
60.0654 2.0965 2.9647e-12
1.9088 2.2555 2.4436e-12
33.6646 2.0005 3.3435e-12
-6.5090 3.5675 7.7945e-13
-24.8681 3.1665 1.0449e-12
-13.3040 1.0295 1.8530e-11
-47.1229 2.9095 1.3239e-12
32.1781 5.7245 2.4526e-13
-39.1964 1.7295 4.9005e-12
-39.8194 4.1855 5.2835e-13
28.6933 1.4445 7.6382e-12
-44.1104 2.7665 1.4607e-12
51.7413 2.6805 1.6210e-12
-33.6201 6.3285 1.8981e-13
-65.9827 4.4245 4.6161e-13
-0.4372 2.2315 2.4943e-12
-44.9547 4.6855 4.1444e-13
-10.4021 2.1555 2.8015e-12
-14.3173 0.9735 2.0504e-11
14.8354 3.7565 6.8995e-13
29.9192 4.3115 4.8135e-13
64.1965 3.7615 6.6484e-13
51.9803 2.3215 2.4809e-12
-40.4622 2.3515 2.1947e-12
-7.5193 2.1975 2.6852e-12
-79.0474 2.7725 1.4996e-12
-36.3605 3.7245 7.0361e-13
-36.0050 5.9735 2.1648e-13
54.1191 3.1385 1.1575e-12
-36.8831 0.8765 2.6853e-11
43.9603 4.5585 4.3117e-13
14.9110 3.0455 1.1375e-12
-48.3310 3.2075 1.0272e-12
-43.7276 3.5725 8.0473e-13
21.5544 4.2875 4.8233e-13
11.4195 3.2395 9.8369e-13
-38.5110 1.7445 4.7071e-12
58.6214 5.2425 3.0319e-13
-28.2291 4.4095 4.6164e-13
48.7096 7.0105 1.5134e-13
-11.5812 3.2075 1.0377e-12
-4.3229 4.8945 3.6650e-13
-13.8029 2.9305 1.3123e-12
-33.7841 2.0605 3.0344e-12
-24.0865 4.6815 3.9354e-13
-18.8846 1.8765 3.9480e-12
-28.5269 2.9085 1.2935e-12
21.7360 1.0525 1.7174e-11
38.3302 2.4905 1.9085e-12
39.7549 4.4115 4.5735e-13
38.2236 3.7975 6.7983e-13
86.3673 3.1855 1.0514e-12
-16.9105 2.8315 1.3701e-12
-41.2246 1.6915 5.1243e-12
38.7700 4.9295 3.5074e-13
-4.7401 3.3165 9.3272e-13
-60.1908 1.6925 5.1955e-12
61.5272 4.4225 4.5255e-13
65.5009 3.5825 7.6164e-13
6.5153 2.7205 1.5813e-12
-4.9530 1.8445 4.1685e-12
-30.0269 3.5705 7.9571e-13
39.8031 3.9315 6.4043e-13
41.4988 3.0005 1.2038e-12
-27.9270 1.4405 7.6190e-12
-7.5382 4.2535 5.2848e-13
-54.1890 3.9755 5.9952e-13
39.7778 3.8055 6.7816e-13
-36.7242 1.3445 9.3773e-12
17.3865 3.9635 6.1167e-13
-12.5997 2.8385 1.3315e-12
-21.6207 2.5315 1.8318e-12
68.0754 2.0305 3.2692e-12
28.5184 0.7995 3.3519e-11
-31.8509 5.6225 2.7131e-13
58.6680 2.5955 1.7208e-12
73.2482 4.2955 4.9599e-13
-31.4968 1.5675 6.0955e-12
10.7898 1.1805 1.2878e-11
47.9330 0.5235 9.7706e-11
-17.9836 0.6745 5.3888e-11
15.1825 1.1585 1.3012e-11
-17.2684 4.2495 4.9590e-13
-12.4439 2.6805 1.5301e-12
-38.9511 1.1355 1.3848e-11
57.0744 3.6345 7.7323e-13
-44.8572 2.4075 2.1005e-12
46.2666 1.3855 8.5865e-12
-2.6271 0.6395 5.9534e-11
-34.7367 1.4985 7.1008e-12
-55.5506 1.1655 1.2652e-11
4.1808 3.2845 9.2704e-13
-12.9605 5.2455 3.0873e-13
-8.0647 5.6895 2.5645e-13
58.7973 0.5205 1.0127e-10
51.4836 4.9695 3.4234e-13
66.1146 0.8275 3.0808e-11
-5.2966 0.6775 5.3679e-11
36.7169 2.3765 2.1528e-12
61.7854 9.0665 8.1450e-14
-44.0766 1.8635 4.0031e-12
81.1109 0.5895 7.1149e-11
-7.7033 3.6775 7.1667e-13
-11.6937 3.3315 9.1129e-13
-43.9383 3.8385 6.6340e-13
11.2011 4.0035 5.7573e-13
17.1561 2.1795 2.7143e-12
-23.0939 2.5065 1.8960e-12
-32.3169 2.8935 1.3363e-12
-26.1710 1.5815 5.9161e-12
-32.5144 0.8885 2.6791e-11
-10.0618 2.3965 2.0587e-12
17.3389 2.3685 2.2163e-12
-85.3127 3.3305 9.4342e-13
4.5279 2.1395 2.8445e-12
4.7152 4.7285 3.9351e-13
28.0483 4.7985 3.7989e-13
-15.9778 2.8985 1.2892e-12
-27.9993 1.6375 5.7020e-12
-31.3190 0.7065 4.5263e-11
-46.4032 2.0245 3.1829e-12
29.1041 2.3395 2.2470e-12
21.4944 4.8305 3.9048e-13
76.7655 1.9595 3.5771e-12
-0.3627 2.6115 1.6899e-12
7.0562 4.1595 5.3312e-13
39.9826 1.7365 4.6904e-12
-66.6021 2.2455 2.5093e-12
3.5839 4.0475 5.4657e-13
2.0310 5.8915 2.2797e-13
72.5370 3.2675 1.0102e-12
3.2388 2.0675 3.1178e-12
3.8415 2.8965 1.3561e-12
-33.1147 3.9475 6.0724e-13
8.1898 1.1145 1.4962e-11
0.6419 1.5515 6.4244e-12
33.0840 1.2985 1.0318e-11
-23.0401 3.4795 8.4781e-13
47.7046 5.2115 3.0855e-13
59.4696 2.9065 1.3153e-12
8.3424 5.2075 3.1398e-13
21.2258 2.9725 1.2556e-12
23.9584 5.1955 3.1123e-13
-39.2033 4.7355 4.0713e-13
6.1848 2.3695 2.2105e-12
23.0612 2.2295 2.5888e-12
-65.4099 3.3905 8.8843e-13
7.0019 3.1895 1.0231e-12
-40.0040 4.8495 3.6077e-13
18.9211 3.5085 8.2754e-13
-63.7944 1.8625 4.2579e-12
8.0264 1.3035 9.5907e-12
-36.4352 4.0985 5.7483e-13
-57.6079 3.3935 8.5753e-13
-65.3739 3.8175 6.4126e-13
-37.6051 4.0925 5.4741e-13
-9.8182 2.2645 2.4540e-12
-1.6403 2.0325 3.1254e-12
-29.5439 2.8435 1.3694e-12
32.0814 2.7645 1.5234e-12
21.5566 1.1115 1.5424e-11
-8.5611 0.9875 1.9765e-11
-33.5937 3.0785 1.1584e-12
33.3971 0.8005 3.2820e-11
8.2172 1.8425 4.3269e-12
-36.1137 1.4295 7.7722e-12
4.2907 4.5365 4.2654e-13
-42.7315 2.1885 2.7020e-12
13.8445 2.0395 3.0850e-12
32.7516 1.7505 4.8317e-12
-82.7057 2.2405 2.6546e-12
-61.7976 7.1825 1.3844e-13
6.8098 1.7635 4.4886e-12
-1.0031 1.8275 4.2961e-12
3.4371 1.6135 5.9373e-12
16.6084 3.0735 1.1441e-12
-7.1511 3.7575 6.5318e-13
-59.6367 3.1975 1.0342e-12
33.0429 4.8085 3.5884e-13
18.1544 1.9235 3.7656e-12
-31.4392 2.0985 3.0371e-12
77.9685 4.1375 5.4091e-13
-49.7147 4.4135 4.6885e-13
49.3456 2.1665 2.7297e-12
-31.9079 0.4975 1.1076e-10
30.7846 1.2565 1.0414e-11
-42.4004 2.1585 2.6849e-12
77.1860 3.3985 8.5531e-13
1.3602 4.2965 5.0235e-13
-9.6229 3.3285 9.4867e-13
-27.3448 1.0465 1.7616e-11
27.3798 3.1885 1.0502e-12
62.7503 2.2405 2.5040e-12
78.6226 2.2475 2.4432e-12
26.6990 1.1885 1.2742e-11
4.0385 3.5435 7.9008e-13
-15.0209 3.6785 7.6541e-13
21.4725 2.0185 3.1871e-12
-8.2538 1.1125 1.5104e-11
64.2330 2.0045 3.3150e-12
27.5759 2.4455 1.9559e-12
19.6757 2.1565 2.8588e-12
36.4458 1.8155 4.2928e-12
-17.3370 1.7705 4.6115e-12
44.5713 3.9335 6.0241e-13
-67.7015 4.0775 5.7102e-13
28.5081 2.7645 1.4507e-12
0.5216 1.0605 1.7459e-11
52.7956 3.2335 9.8855e-13
12.4044 4.4795 4.3528e-13
0.8391 4.5575 4.2205e-13
-15.2658 3.3335 9.4453e-13
19.7248 3.3385 9.7365e-13
-33.3224 2.9215 1.2828e-12
17.8516 4.2515 4.9955e-13
-29.0410 4.5855 4.3000e-13
46.2711 4.9045 3.5557e-13
-34.2501 2.2435 2.4749e-12
-38.7557 0.5855 7.4811e-11
9.6212 2.5225 1.8835e-12
-19.9508 1.9445 3.5699e-12
-47.5619 3.4875 8.4851e-13
33.0238 1.3035 1.0404e-11
29.9467 1.9005 3.8962e-12
19.3383 1.7455 4.7059e-12
72.7006 3.0475 1.1697e-12
-44.4330 1.3625 8.5042e-12
15.0774 2.2725 2.3745e-12
-27.0003 3.4045 8.7460e-13
39.1888 4.2605 5.1422e-13
-78.7588 8.3605 9.6116e-14
-47.5891 3.3785 9.0615e-13
5.7739 4.3495 4.7525e-13
-0.3676 2.8505 1.3408e-12
-4.8532 3.4755 8.3279e-13
58.8296 2.4345 2.0414e-12
-39.4090 3.1735 1.0341e-12
-38.5184 1.8665 3.9245e-12
-23.3206 4.4535 4.5575e-13
-43.3429 0.9725 2.1197e-11
-10.3472 0.9965 1.9945e-11
-13.0542 4.6595 3.9769e-13
37.8673 1.4555 7.7783e-12
29.7915 2.2675 2.3730e-12
43.2190 4.8245 3.6730e-13
-49.0322 3.4225 8.6212e-13
-5.1556 3.2645 9.7061e-13
-20.7528 2.7755 1.4394e-12
52.7004 3.0235 1.1477e-12
30.3075 3.8425 6.4983e-13
-56.9562 2.1385 2.9319e-12
-37.5396 1.7965 4.3281e-12
32.1809 4.7835 3.6911e-13
-12.5709 2.2985 2.3147e-12
15.0187 2.7885 1.4591e-12
17.9940 3.4925 8.2431e-13
46.1381 3.2875 9.5045e-13
67.4748 3.9025 6.1507e-13
9.9810 1.9565 3.4493e-12
-18.6276 2.6895 1.5541e-12
43.3485 3.6375 7.6626e-13
-45.1242 4.3735 4.7555e-13
37.3024 2.3635 2.2401e-12
4.0709 1.2785 1.0654e-11
-20.0708 2.1625 2.6976e-12
-72.7702 2.2715 2.5228e-12
-25.3169 1.5945 5.8759e-12
71.5353 0.3575 2.4062e-10
-0.9912 2.4515 1.9839e-12
59.1002 3.2155 1.0290e-12
-14.8613 4.5125 4.2794e-13
-13.7395 1.5605 6.3214e-12
10.8842 5.0875 3.2062e-13
28.3044 4.1285 5.5266e-13
-9.8454 1.1135 1.4688e-11
44.2485 2.9335 1.2867e-12
-1.0739 4.0865 5.3719e-13
-25.3586 1.3305 9.2449e-12
16.7972 2.8585 1.3126e-12
-27.8509 2.5325 1.8572e-12
42.5339 1.5345 6.4438e-12
-5.2176 2.1765 2.6905e-12
28.8148 2.4435 2.0236e-12
32.3481 1.0675 1.7419e-11
49.0477 0.9835 1.9779e-11
-47.8802 3.9015 6.3541e-13
11.4455 4.6555 3.8948e-13
-18.1750 2.3275 2.2552e-12
-71.1657 4.7995 3.6635e-13
-60.3846 4.3705 4.8227e-13
-48.5986 5.0215 3.5226e-13
-73.6669 3.3475 8.9981e-13
20.3985 0.5545 8.6711e-11
-21.6446 4.6725 4.1112e-13
37.4988 5.5575 2.7575e-13
-25.5868 1.0765 1.5663e-11
67.1426 1.0275 1.7947e-11
-84.8572 3.9055 6.3109e-13
15.5827 1.6685 5.2912e-12
58.1622 3.9425 6.1709e-13
60.5112 2.4795 1.9498e-12
-49.2488 0.8585 2.9540e-11
-2.7064 1.4205 8.1442e-12
-23.1143 2.7235 1.5134e-12
-41.1513 4.2065 5.2267e-13
-47.4595 4.7495 3.9025e-13
-51.5474 2.7365 1.5153e-12
-37.3523 2.7075 1.5468e-12
-42.4774 1.6885 5.1922e-12
10.9422 4.2425 5.0308e-13
-37.1062 2.4505 1.9607e-12
10.7326 2.3335 2.3111e-12
7.5916 1.3305 9.6075e-12
3.6436 1.0155 1.8992e-11
-36.1422 1.7595 4.6255e-12
-10.6788 3.1595 1.0930e-12
-29.3812 4.4315 4.6228e-13
-54.3133 5.2825 2.9911e-13
-8.6421 2.6425 1.6569e-12
26.6201 3.5885 7.5481e-13
29.1064 3.9985 5.9948e-13
-40.4504 1.9065 3.7488e-12
49.4613 6.0135 2.1819e-13
38.5590 1.4575 7.4279e-12
-7.5540 2.5895 1.6279e-12
-12.1122 4.6815 4.0060e-13
-66.1719 2.6465 1.6110e-12
-52.4276 1.2095 1.2101e-11
7.6757 0.8725 2.7698e-11
21.3403 3.6925 7.0924e-13
11.4413 5.7575 2.4643e-13
-67.5263 5.1335 3.1754e-13
50.9743 1.2695 1.0441e-11
46.8771 4.4225 4.7994e-13
-35.2331 2.4135 2.0711e-12
22.0532 3.1065 1.1328e-12
34.0321 1.7865 4.5111e-12
0.3855 3.4695 8.7702e-13
-42.8221 3.7595 7.1722e-13
-58.6021 4.1075 5.7670e-13
-7.8843 1.5005 7.0961e-12
-71.8275 1.1265 1.4509e-11
35.3873 4.0335 5.7484e-13
12.1307 3.1615 1.0656e-12
43.7647 2.9375 1.2644e-12
52.8941 1.6975 5.1911e-12
4.7016 3.6955 7.0361e-13
-57.4862 4.0965 5.5884e-13
18.0346 1.0465 1.7171e-11
-50.8634 1.7705 4.6083e-12
15.5132 3.1835 1.0192e-12
-49.1426 6.2925 1.9316e-13
-32.6407 1.3525 9.3605e-12
31.8198 4.8545 3.4308e-13
52.6502 5.9675 2.1385e-13
41.2206 4.3445 4.8394e-13
41.9612 4.9975 3.4231e-13
-18.0705 1.4715 7.2425e-12
62.3727 4.1505 5.6500e-13
66.7016 2.2995 2.2852e-12
18.6985 3.8325 6.7573e-13
48.7304 3.5665 7.6488e-13
3.5925 1.4265 7.9493e-12
-47.7200 2.7805 1.4693e-12
16.6120 3.9915 5.9337e-13
55.5091 3.1985 1.0702e-12
9.7222 2.8865 1.2941e-12
28.1037 1.7415 4.7587e-12
0.1219 2.1205 2.9698e-12
-1.6951 1.7325 4.7652e-12
